Hsimilis,Level,Location,MedSand
0,Lower,A,16.24
0,Lower,A,10.73
0,Lower,A,5.84
0,Lower,A,10.03
0,Lower,A,25.95
0,Lower,A,11.21
0,Upper,A,9.99
0,Lower,A,6.41
0,Lower,A,11.28
0,Lower,A,6.49
0,Lower,A,6.86
0,Lower,A,7.07
0,Lower,A,1.69
0,Lower,A,1.70
0,Lower,A,6.89
0,Lower,A,8.07
0,Upper,A,5.83
0,Lower,A,3.05
1,Upper,A,7.69
1,Lower,A,2.73
1,Lower,A,3.14
1,Upper,A,6.90
1,Lower,A,7.48
1,Lower,A,6.34
1,Lower,A,6.26
1,Upper,A,11.99
1,Lower,A,2.76
1,Upper,A,12.27
1,Lower,A,7.06
1,Upper,A,36.08
1,Lower,A,9.53
1,Upper,A,7.89
1,Upper,A,5.51
1,Upper,A,16.42
1,Upper,A,16.79
1,Upper,A,4.32
1,Upper,A,4.61
1,Upper,A,0.49
1,Upper,A,15.34
1,Upper,A,12.36
1,Upper,A,8.62
1,Upper,A,8.53
1,Upper,A,15.07
1,Upper,A,4.44
1,Upper,A,8.14
1,Upper,A,4.36
1,Upper,A,23.73
1,Upper,A,3.18
0,Upper,B,0.04
0,Lower,B,0.11
0,Upper,B,0.09
0,Lower,B,0.28
0,Upper,B,0.04
0,Lower,B,0.09
0,Upper,B,0.05
0,Lower,B,0.05
0,Upper,B,0.03
0,Lower,B,0.03
0,Upper,B,0.07
0,Lower,B,0.01
0,Upper,B,0.02
0,Lower,B,0.05
0,Upper,B,0.04
0,Lower,B,0.04
0,Upper,B,0.03
0,Lower,B,0.02
0,Upper,B,0.18
0,Lower,B,0.07
0,Upper,B,0.05
0,Lower,B,0.06
0,Upper,B,0.02
0,Lower,B,0.02
0,Upper,B,0.01
0,Lower,B,0.02
0,Upper,B,0.02
0,Lower,B,0.01
0,Upper,B,0.01
0,Lower,B,0.02
0,Upper,B,0.02
0,Lower,B,0.01
0,Upper,B,0.05
0,Lower,B,0.06
0,Upper,B,0.06
0,Lower,B,0.08
0,Upper,B,0.06
0,Lower,B,0.08
0,Upper,B,0.07
0,Lower,B,0.02
0,Upper,B,0.02
0,Lower,B,0.01
0,Upper,B,0.01
0,Lower,B,0.01
0,Lower,B,0.07
1,Upper,B,0.07
1,Lower,B,0.02
1,Upper,B,0.01
0,Lower,C,5.74
0,Lower,C,5.04
0,Lower,C,6.22
0,Lower,C,10.05
0,Lower,C,1.59
0,Lower,C,5.62
0,Lower,C,2.52
0,Lower,C,4.75
0,Lower,C,5.36
0,Lower,C,4.15
0,Lower,C,6.69
0,Lower,C,5.15
0,Lower,C,3.09
0,Lower,C,5.60
0,Lower,C,8.92
1,Upper,C,4.07
1,Lower,C,6.50
1,Lower,C,4.59
1,Lower,C,6.20
1,Upper,C,5.98
1,Lower,C,1.68
1,Upper,C,3.35
1,Upper,C,10.53
1,Upper,C,4.97
1,Lower,C,2.35
1,Upper,C,4.63
1,Lower,C,4.32
1,Lower,C,1.12
1,Upper,C,5.16
1,Upper,C,5.05
1,Lower,C,5.78
1,Upper,C,6.01
1,Lower,C,3.50
1,Upper,C,6.16
1,Upper,C,5.16
1,Upper,C,4.13
1,Upper,C,5.75
1,Upper,C,6.74
1,Upper,C,8.09
1,Upper,C,5.69
1,Upper,C,6.67
1,Upper,C,4.52
1,Upper,C,5.04
1,Upper,C,5.49
1,Upper,C,6.74
1,Upper,C,6.68
1,Upper,C,13.32
1,Upper,C,4.28
