T,P,S,PT,Y,BAI,DBH,H,Hc,SMx,t60,t300,L16,L17
B101,B1,B,NB,1973,3.425162231,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,1974,3.247464326,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,1975,10.89422651,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,1976,3.381789403,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,1977,2.797274099,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,1978,4.686753584,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,1979,4.514729395,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,1980,6.654433594,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,1981,6.577137849,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,1982,6.079911696,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,1983,5.010664353,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,1984,7.083741655,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,1985,5.159836597,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,1986,5.336073662,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,1987,6.018361613,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,1988,5.555777803,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,1989,4.282232689,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,1990,4.084723901,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,1991,5.869500387,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,1992,6.057970813,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,1993,4.757527384,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,1994,2.911738027,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,1995,4.272807912,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,1996,3.991277227,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,1997,5.222637034,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,1998,3.498377048,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,1999,4.812828839,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,2000,3.376131395,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,2001,3.234018309,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,2002,3.167708713,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,2003,2.402108867,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,2004,3.419812099,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,2005,4.135470047,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,2006,3.054353767,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,2007,3.063910492,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,2008,2.284487638,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,2009,0.867912094,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,2010,1.579969777,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,2011,3.008866647,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,2012,1.587258272,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,2013,2.146785349,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,2014,2.630069113,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,2015,2.396909531,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,2016,4.168038938,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B101,B1,B,NB,2017,3.378895996,25.65,11.1,52.2522522522523,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,1973,2.227593395,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,1974,2.324448696,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,1975,1.697292555,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,1976,2.260212551,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,1977,2.062241949,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,1978,1.969913682,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,1979,1.79930321,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,1980,1.927621562,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,1981,2.020531023,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,1982,0.575052827,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,1983,0.923025054,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,1984,1.313814048,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,1985,1.51596611,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,1986,1.290204979,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,1987,2.680180657,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,1988,3.51159687,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,1989,2.462729039,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,1990,2.568016375,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,1991,2.17970924,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,1992,2.030904562,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,1993,3.095675135,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,1994,2.238318792,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,1995,1.147061451,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,1996,1.322645065,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,1997,1.715560916,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,1998,2.63558575,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,1999,2.790337462,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,2000,3.923092101,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,2001,2.002529697,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,2002,2.015253147,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,2003,2.027976598,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,2004,1.767871576,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,2005,1.7774283,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,2006,1.373755636,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,2007,1.379410502,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,2008,1.200063261,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,2009,0.323819663,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,2010,0.973306245,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,2011,1.162310742,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,2012,1.259706397,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,2013,0.561339775,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,2014,0.421598593,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
B102,B1,B,NB,2015,0.656831626,15.05,8.7,50.5747126436782,0,0,0,1137.39583333333,1432.82894736842
